case_number,external_id,title,url,as_of,close_time,resolution_time,probability,outcome,description
11,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S20264F3F85629B1-8ADBB2977A3,"no Target Price: $76,607.28,no Target Price: $2,093.88",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S20264F3F85629B1-8ADBB2977A3,2026-05-26T09:30:00Z,2026-05-26T09:30:00Z,2026-05-26T09:33:06.783158Z,0.0,no,
12,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S2026D9736FBD28F-5BEBE69CE50,"yes Target Price: $0.1011661,no Target Price: $2,095.34",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S2026D9736FBD28F-5BEBE69CE50,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:28:45.318994Z,0.0,yes,
13,kalshi:KXMVECROSSCATEGORY-S20266D8ED147D5D-D85EBCDC591,"yes Target Price: $76,652.45,yes Target Price: $0.1011661",https://kalshi.com/markets/KXMVECROSSCATEGORY-S20266D8ED147D5D-D85EBCDC591,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:28:18.58045Z,0.0,no,
14,kalshi:KXMVECROSSCATEGORY-S20266D8ED147D5D-8B2C3E8244A,"no Target Price: $76,652.45,yes Target Price: $0.1011661",https://kalshi.com/markets/KXMVECROSSCATEGORY-S20266D8ED147D5D-8B2C3E8244A,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:28:18.574943Z,0.0,yes,
15,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S2026F2088FB2DD0-B7EAE6ED05B,"yes Target Price: $0.1011661,yes Target Price: $84.3658,yes Target Price: $1.3397",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S2026F2088FB2DD0-B7EAE6ED05B,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:28:45.313072Z,0.0,no,
16,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S20266AF5D4FCB23-3BD85ED80A8,"yes Target Price: $0.1011661,yes Target Price: $84.3658",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S20266AF5D4FCB23-3BD85ED80A8,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:28:45.356688Z,0.0,no,
17,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S2026942BC1EB8FD-120B9949C8B,"yes Target Price: $76,652.45,no Target Price: $0.1011661",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S2026942BC1EB8FD-120B9949C8B,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:28:45.350537Z,0.0,no,
18,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S20269EE540F0D68-AE924AB8F97,"no Target Price: $76,652.45,no Target Price: $0.1011661,no Target Price: $2,095.34,no Target Price: $1.3397",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S20269EE540F0D68-AE924AB8F97,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:28:45.337564Z,0.0,no,
19,kalshi:KXMVECROSSCATEGORY-S2026EF0F9E09788-4FD1EAC524D,"yes Target Price: $76,652.45,no Target Price: $84.3658",https://kalshi.com/markets/KXMVECROSSCATEGORY-S2026EF0F9E09788-4FD1EAC524D,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:28:18.562561Z,0.0,no,
20,kalshi:KXMVECROSSCATEGORY-S2026EF0F9E09788-050A47CA30C,"no Target Price: $76,652.45,no Target Price: $84.3658",https://kalshi.com/markets/KXMVECROSSCATEGORY-S2026EF0F9E09788-050A47CA30C,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:28:18.557137Z,0.0,yes,
21,kalshi:KXMVECROSSCATEGORY-S2026D257EAEA054-A60870FA750,"yes Target Price: $76,652.45,no Target Price: $2,095.34",https://kalshi.com/markets/KXMVECROSSCATEGORY-S2026D257EAEA054-A60870FA750,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:28:18.568681Z,0.0,no,
22,kalshi:KXMVECROSSCATEGORY-S20261AC9A73300D-6214FD47F91,"yes Target Price: $76,652.45,yes Target Price: $2,095.34,yes Target Price: $1.3397",https://kalshi.com/markets/KXMVECROSSCATEGORY-S20261AC9A73300D-6214FD47F91,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:28:18.57454Z,0.0,no,
23,kalshi:KXMVECROSSCATEGORY-S2026D257EAEA054-FB868BAA7B0,"yes Target Price: $76,652.45,yes Target Price: $2,095.34",https://kalshi.com/markets/KXMVECROSSCATEGORY-S2026D257EAEA054-FB868BAA7B0,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:28:18.563153Z,0.0,no,
24,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S202610B3586079C-050A47CA30C,"no Target Price: $76,652.45,no Target Price: $84.3658",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S202610B3586079C-050A47CA30C,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:28:45.369037Z,0.0,yes,
25,kalshi:KXMVECROSSCATEGORY-S20267EB392DE914-1CAADF0FD09,"yes Target Price: $76,652.45,no Target Price: $1.3397",https://kalshi.com/markets/KXMVECROSSCATEGORY-S20267EB392DE914-1CAADF0FD09,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:28:18.568851Z,0.0,no,
26,kalshi:KXMVECROSSCATEGORY-S2026C0244B0CC89-0C38829ECED,"yes Target Price: $76,652.45,yes San Antonio,yes VGK Golden Knights",https://kalshi.com/markets/KXMVECROSSCATEGORY-S2026C0244B0CC89-0C38829ECED,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:28:18.513034Z,0.0,no,
27,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S2026F423896FEF8-35BBA74950C,"yes Marin Cilic,yes Matteo Arnaldi,yes Alexei Popyrin,yes Alejandro Tabilo,yes Daniil Medvedev,no Target Price: $76,652.45,no Target Price: $0.1011661,no Target Price: $2,095.34,no Target Price: $84.3658,no Target Price: $1.3397",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S2026F423896FEF8-35BBA74950C,2026-05-26T09:27:46Z,2026-05-26T09:27:46Z,2026-05-26T09:28:45.325157Z,0.0,no,
28,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S20269855D671532-56107AA44F5,"yes Marin Cilic,yes Matteo Arnaldi,yes Alexei Popyrin,yes Alejandro Tabilo,yes Daniil Medvedev,no Target Price: $76,652.45,no Target Price: $0.1011661,no Target Price: $2,095.34,no Target Price: $1.3397",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S20269855D671532-56107AA44F5,2026-05-26T09:27:46Z,2026-05-26T09:27:46Z,2026-05-26T09:28:45.349986Z,0.0,no,
29,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S202631EF7BEEC1B-06F4226B979,"no Target Price: $76,652.45,no Target Price: $2,095.34,no Target Price: $84.3658",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S202631EF7BEEC1B-06F4226B979,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:28:45.363185Z,0.0,yes,
30,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S2026942BC1EB8FD-6459161B8A9,"no Target Price: $76,652.45,no Target Price: $0.1011661",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S2026942BC1EB8FD-6459161B8A9,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:28:45.343854Z,0.0,no,
31,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S2026B61C443F324-317892DEDB4,"no Target Price: $76,652.45,no Target Price: $0.1011661,no Target Price: $2,095.34",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S2026B61C443F324-317892DEDB4,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:28:45.331587Z,0.0,no,
32,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S2026D54D7EE6FAD-263D1B86F4A,"no Target Price: $76,652.45,no Target Price: $2,095.34",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S2026D54D7EE6FAD-263D1B86F4A,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:18:41.539893Z,0.0,yes,
33,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S2026C88AB5CE61C-158B750B3EF,"no Target Price: $76,652.45,no Target Price: $0.1011661,no Target Price: $2,095.34,no Target Price: $84.3658",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S2026C88AB5CE61C-158B750B3EF,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:28:45.32622Z,0.0,no,
34,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S2026B6647C41411-64DF1FFFA74,"no Target Price: $76,652.45,no Target Price: $0.1011661,no Target Price: $2,095.34,no Target Price: $84.3658,no Target Price: $1.3397",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S2026B6647C41411-64DF1FFFA74,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:18:36.712591Z,0.0,no,
35,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S2026B6647C41411-E1CE4DE439E,"no Target Price: $76,652.45,no Target Price: $0.1011661,no Target Price: $2,095.34,yes Target Price: $84.3658,no Target Price: $1.3397",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S2026B6647C41411-E1CE4DE439E,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:18:36.706659Z,0.0,no,
36,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S2026B6647C41411-BD512028310,"no Target Price: $76,652.45,yes Target Price: $0.1011661,no Target Price: $2,095.34,yes Target Price: $84.3658,no Target Price: $1.3397",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S2026B6647C41411-BD512028310,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:18:36.700321Z,0.0,no,
37,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S2026B6647C41411-2043FEDEE0C,"no Target Price: $76,652.45,yes Target Price: $0.1011661,no Target Price: $2,095.34,yes Target Price: $84.3658,yes Target Price: $1.3397",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S2026B6647C41411-2043FEDEE0C,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:18:36.694433Z,0.0,no,
38,kalshi:KXMVECROSSCATEGORY-S2026878D64FD342-CC6939193D5,"yes Target Price: $76,652.45,yes Tampa Bay,yes Pittsburgh,yes Detroit,yes Atlanta",https://kalshi.com/markets/KXMVECROSSCATEGORY-S2026878D64FD342-CC6939193D5,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:28:18.544945Z,0.0,no,
39,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S2026D54D7EE6FAD-FB868BAA7B0,"yes Target Price: $76,652.45,yes Target Price: $2,095.34",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S2026D54D7EE6FAD-FB868BAA7B0,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:18:36.682629Z,0.0,no,
40,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S2026B6647C41411-E0D725ACBB6,"no Target Price: $76,652.45,yes Target Price: $0.1011661,yes Target Price: $2,095.34,yes Target Price: $84.3658,yes Target Price: $1.3397",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S2026B6647C41411-E0D725ACBB6,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:18:36.688594Z,0.0,no,
41,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S2026B6647C41411-ED2B34DD0BD,"yes Target Price: $76,652.45,yes Target Price: $0.1011661,yes Target Price: $2,095.34,yes Target Price: $84.3658,yes Target Price: $1.3397",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S2026B6647C41411-ED2B34DD0BD,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:18:36.682169Z,0.0,no,
42,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S2026802BE21DEB6-67417FBB6AE,"yes Target Price: $0.1011661,yes Target Price: $2,095.34,yes Target Price: $84.3658,yes Target Price: $1.3397",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S2026802BE21DEB6-67417FBB6AE,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:28:45.35664Z,0.0,no,
43,kalshi:KXMVECROSSCATEGORY-S2026D257EAEA054-263D1B86F4A,"no Target Price: $76,652.45,no Target Price: $2,095.34",https://kalshi.com/markets/KXMVECROSSCATEGORY-S2026D257EAEA054-263D1B86F4A,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:28:18.556949Z,0.0,yes,
44,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S2026AD2F7C62C85-BFF574AA394,"yes Target Price: $0.1011661,yes Target Price: $2,095.34,yes Target Price: $1.3397",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S2026AD2F7C62C85-BFF574AA394,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:28:45.331993Z,0.0,no,
45,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S202632C87E9F717-9DBF110D56F,"yes Target Price: $2,095.34,yes Target Price: $1.3397",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S202632C87E9F717-9DBF110D56F,2026-05-26T09:15:00Z,2026-05-26T09:15:00Z,2026-05-26T09:28:45.362568Z,0.0,no,
46,kalshi:KXMVECROSSCATEGORY-S2026BD4E9EF3356-13D0D615D4C,"yes Target Price: $2,097.17,yes Atlanta,yes VGK Golden Knights",https://kalshi.com/markets/KXMVECROSSCATEGORY-S2026BD4E9EF3356-13D0D615D4C,2026-05-26T09:00:00Z,2026-05-26T09:00:00Z,2026-05-26T09:28:18.51999Z,0.0,no,
47,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S2026E022B464781-E214E2127B0,"yes Adam Walton,yes Target Price: $2,097.17,yes San Antonio,yes Luguentz Dort: 10+,no Over 215.5 points scored,yes Akshay Bhatia,yes Russell Henley,no Target Price: $1.3416",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S2026E022B464781-E214E2127B0,2026-05-26T09:27:46Z,2026-05-26T09:27:46Z,2026-05-26T09:28:45.250329Z,0.0,no,
48,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S2026A3F2533BAB4-B770E9F2790,"yes Adam Walton,yes Target Price: $2,097.17,yes San Antonio,yes Luguentz Dort: 10+,no Over 215.5 points scored,yes Akshay Bhatia,yes Russell Henley",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S2026A3F2533BAB4-B770E9F2790,2026-05-26T09:27:46Z,2026-05-26T09:27:46Z,2026-05-26T09:28:45.249307Z,0.0,no,
49,kalshi:KXMVECROSSCATEGORY-S2026F9D9F9E234C-7E93F0CC74E,"yes $76,700 or above,no Target Price: $2,097.17,yes Oklahoma City,yes Portland,yes New York,yes Chicago,no Target Price: $1.3416",https://kalshi.com/markets/KXMVECROSSCATEGORY-S2026F9D9F9E234C-7E93F0CC74E,2026-05-26T09:00:00Z,2026-05-26T09:00:00Z,2026-05-26T09:28:18.488279Z,0.0,no,
50,kalshi:KXMVECROSSCATEGORY-S20267B418F91930-99C89024454,"yes $76,700 or above,no Target Price: $2,097.17,yes Oklahoma City,yes New York,yes Chicago,no Target Price: $1.3416",https://kalshi.com/markets/KXMVECROSSCATEGORY-S20267B418F91930-99C89024454,2026-05-26T09:00:00Z,2026-05-26T09:00:00Z,2026-05-26T09:28:18.487252Z,0.0,no,
51,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S202629BFE743660-9D31D99ECF4,"yes Target Price: $0.1011376,no Target Price: $2,097.17,no Target Price: $84.4517,no Target Price: $1.3416",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S202629BFE743660-9D31D99ECF4,2026-05-26T09:00:00Z,2026-05-26T09:00:00Z,2026-05-26T09:03:03.489389Z,0.0,yes,
52,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S202647FF4E97E6C-396995A2C68,"yes Adam Walton,no Target Price: $0.1011376,yes Target Price: $2,097.17,yes San Antonio,yes Luguentz Dort: 10+,no Over 215.5 points scored,yes Akshay Bhatia,yes Russell Henley,yes Target Price: $1.3416",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S202647FF4E97E6C-396995A2C68,2026-05-26T09:27:46Z,2026-05-26T09:27:46Z,2026-05-26T09:28:45.269254Z,0.0,no,
53,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S2026E4C54BACF72-B750684459B,"yes Target Price: $0.1011376,no Target Price: $2,097.17,no Target Price: $84.4517",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S2026E4C54BACF72-B750684459B,2026-05-26T09:00:00Z,2026-05-26T09:00:00Z,2026-05-26T09:03:03.489778Z,0.0,yes,
54,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S2026E022B464781-BD07C6514AD,"yes Adam Walton,yes Target Price: $2,097.17,yes San Antonio,yes Luguentz Dort: 10+,no Over 215.5 points scored,yes Akshay Bhatia,yes Russell Henley,yes Target Price: $1.3416",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S2026E022B464781-BD07C6514AD,2026-05-26T09:27:46Z,2026-05-26T09:27:46Z,2026-05-26T09:28:45.230857Z,0.0,no,
55,kalshi:KXMVECROSSCATEGORY-S20262548C31CB82-CD64A740F5C,"yes $76,700 or above,no Target Price: $2,097.17,yes Oklahoma City,yes New York,no Target Price: $1.3416",https://kalshi.com/markets/KXMVECROSSCATEGORY-S20262548C31CB82-CD64A740F5C,2026-05-26T09:00:00Z,2026-05-26T09:00:00Z,2026-05-26T09:28:18.494321Z,0.0,no,
56,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S2026D8C41CBD2CC-E77C6643BBC,"yes Adam Walton,yes San Antonio,yes Luguentz Dort: 10+,no Over 215.5 points scored,yes Akshay Bhatia,yes Russell Henley,yes Target Price: $1.3416",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S2026D8C41CBD2CC-E77C6643BBC,2026-05-26T09:27:46Z,2026-05-26T09:27:46Z,2026-05-26T09:28:45.230722Z,0.0,no,
57,kalshi:KXMVECROSSCATEGORY-S2026485AA025F13-81E2A08D450,"yes $76,700 or above,no Target Price: $2,097.17,yes Oklahoma City,no Target Price: $1.3416",https://kalshi.com/markets/KXMVECROSSCATEGORY-S2026485AA025F13-81E2A08D450,2026-05-26T09:00:00Z,2026-05-26T09:00:00Z,2026-05-26T09:28:18.532918Z,0.0,no,
58,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S202634E15FFDB63-0CA1154DA5C,"yes Valentin Vacherot,yes Marin Cilic,yes Alexei Popyrin,yes Alejandro Tabilo,yes Daniil Medvedev,yes $76,600 or above,no Target Price: $0.1011376,no Target Price: $2,097.17,no Target Price: $84.4517,no Target Price: $1.3416",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S202634E15FFDB63-0CA1154DA5C,2026-05-26T09:27:46Z,2026-05-26T09:27:46Z,2026-05-26T09:28:45.558182Z,0.0,no,
59,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S2026CC6F1A787D0-3BCB3C58D3F,"yes Marin Cilic,yes Alexei Popyrin,yes Alejandro Tabilo,yes Daniil Medvedev,yes $76,600 or above,no Target Price: $0.1011376,no Target Price: $2,097.17,no Target Price: $84.4517,no Target Price: $1.3416",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S2026CC6F1A787D0-3BCB3C58D3F,2026-05-26T09:27:46Z,2026-05-26T09:27:46Z,2026-05-26T09:28:45.413469Z,0.0,no,
60,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S20268CB0D1CD2F4-00F3F2DC97B,"yes Marin Cilic,yes Alexei Popyrin,yes Alejandro Tabilo,yes $76,600 or above,no Target Price: $0.1011376,no Target Price: $2,097.17,no Target Price: $84.4517,no Target Price: $1.3416",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S20268CB0D1CD2F4-00F3F2DC97B,2026-05-26T09:27:46Z,2026-05-26T09:27:46Z,2026-05-26T09:28:45.48724Z,0.0,no,
61,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S202692CCA58991C-66F5D796ECF,"yes Marin Cilic,yes Alejandro Tabilo,yes $76,600 or above,no Target Price: $0.1011376,no Target Price: $2,097.17,no Target Price: $84.4517,no Target Price: $1.3416",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S202692CCA58991C-66F5D796ECF,2026-05-26T09:27:46Z,2026-05-26T09:27:46Z,2026-05-26T09:28:45.47569Z,0.0,no,
62,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S2026AA7ACE21CA6-DFDAED545DC,"yes Alejandro Tabilo,yes $76,600 or above,no Target Price: $0.1011376,no Target Price: $2,097.17,no Target Price: $84.4517,no Target Price: $1.3416",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S2026AA7ACE21CA6-DFDAED545DC,2026-05-26T09:27:46Z,2026-05-26T09:27:46Z,2026-05-26T09:28:45.419956Z,0.0,no,
63,kalshi:KXMVECROSSCATEGORY-S2026DA05B14626F-E1BD9D0E7DF,"yes Target Price: $0.1011376,yes Target Price: $2,097.17,no Target Price: $84.4517,yes Target Price: $1.3416",https://kalshi.com/markets/KXMVECROSSCATEGORY-S2026DA05B14626F-E1BD9D0E7DF,2026-05-26T09:00:00Z,2026-05-26T09:00:00Z,2026-05-26T09:28:18.610392Z,0.0,no,
64,kalshi:KXMVECROSSCATEGORY-S2026DA05B14626F-7116B3CB7A4,"no Target Price: $0.1011376,yes Target Price: $2,097.17,no Target Price: $84.4517,yes Target Price: $1.3416",https://kalshi.com/markets/KXMVECROSSCATEGORY-S2026DA05B14626F-7116B3CB7A4,2026-05-26T09:00:00Z,2026-05-26T09:00:00Z,2026-05-26T09:28:18.604646Z,0.0,no,
65,kalshi:KXMVECROSSCATEGORY-S2026DA05B14626F-183C6039325,"no Target Price: $0.1011376,no Target Price: $2,097.17,no Target Price: $84.4517,no Target Price: $1.3416",https://kalshi.com/markets/KXMVECROSSCATEGORY-S2026DA05B14626F-183C6039325,2026-05-26T09:00:00Z,2026-05-26T09:00:00Z,2026-05-26T09:28:18.598489Z,0.0,no,
66,kalshi:KXMVECROSSCATEGORY-S202601F0140488F-2DB7C83232B,"yes Target Price: $2,097.17,yes Cleveland,yes Detroit,yes Milwaukee,yes Los Angeles D",https://kalshi.com/markets/KXMVECROSSCATEGORY-S202601F0140488F-2DB7C83232B,2026-05-26T09:00:00Z,2026-05-26T09:00:00Z,2026-05-26T09:28:18.506665Z,0.0,no,
