case_number,domain,topic,as_of,close_time,probability,base_rate,outcome
28,biotech,regulatory,2022-07-11T00:00:00Z,2022-11-20T00:00:00Z,0.42,0.64,yes
29,technology,adoption,2022-07-18T00:00:00Z,2022-08-12T00:00:00Z,0.79,0.31,no
30,geopolitics,elections,2022-07-25T00:00:00Z,2022-09-01T00:00:00Z,0.40,0.60,no
31,climate,energy,2022-08-01T00:00:00Z,2022-09-21T00:00:00Z,0.77,0.27,no
32,public_health,outbreaks,2022-08-08T00:00:00Z,2022-10-11T00:00:00Z,0.38,0.56,yes
33,macro,rates,2022-08-15T00:00:00Z,2022-10-31T00:00:00Z,0.75,0.23,no
34,policy,legislation,2022-08-22T00:00:00Z,2022-11-20T00:00:00Z,0.36,0.52,no
35,credit,default,2022-08-29T00:00:00Z,2022-12-10T00:00:00Z,0.73,0.19,yes
36,biotech,regulatory,2022-09-05T00:00:00Z,2022-12-30T00:00:00Z,0.34,0.48,yes
37,technology,adoption,2022-09-12T00:00:00Z,2023-01-19T00:00:00Z,0.71,0.77,yes
38,geopolitics,elections,2022-09-19T00:00:00Z,2022-10-11T00:00:00Z,0.32,0.44,yes
39,climate,energy,2022-09-26T00:00:00Z,2022-10-31T00:00:00Z,0.69,0.73,no
40,public_health,outbreaks,2022-10-03T00:00:00Z,2022-11-20T00:00:00Z,0.30,0.40,no
41,macro,rates,2022-10-10T00:00:00Z,2022-12-10T00:00:00Z,0.67,0.69,no
42,policy,legislation,2022-10-17T00:00:00Z,2022-12-30T00:00:00Z,0.28,0.36,yes
43,credit,default,2022-10-24T00:00:00Z,2023-01-19T00:00:00Z,0.65,0.65,no
44,biotech,regulatory,2022-10-31T00:00:00Z,2023-02-08T00:00:00Z,0.26,0.32,no
45,technology,adoption,2022-11-07T00:00:00Z,2023-02-28T00:00:00Z,0.63,0.61,yes
46,geopolitics,elections,2022-11-14T00:00:00Z,2023-03-20T00:00:00Z,0.24,0.28,yes
47,climate,energy,2022-11-21T00:00:00Z,2023-04-09T00:00:00Z,0.61,0.57,yes
48,public_health,outbreaks,2022-11-28T00:00:00Z,2022-12-30T00:00:00Z,0.22,0.24,yes
49,macro,rates,2022-12-05T00:00:00Z,2023-01-19T00:00:00Z,0.59,0.53,no
50,policy,legislation,2022-12-12T00:00:00Z,2023-02-08T00:00:00Z,0.20,0.20,no
51,credit,default,2022-12-19T00:00:00Z,2023-02-28T00:00:00Z,0.57,0.49,no
52,biotech,regulatory,2022-12-26T00:00:00Z,2023-03-20T00:00:00Z,0.18,0.78,yes
53,technology,adoption,2023-01-02T00:00:00Z,2023-04-09T00:00:00Z,0.55,0.45,no
54,geopolitics,elections,2023-01-09T00:00:00Z,2023-04-29T00:00:00Z,0.16,0.74,no
55,climate,energy,2023-01-16T00:00:00Z,2023-05-19T00:00:00Z,0.53,0.41,yes
56,public_health,outbreaks,2023-01-23T00:00:00Z,2023-06-08T00:00:00Z,0.14,0.70,yes
57,macro,rates,2023-01-30T00:00:00Z,2023-02-28T00:00:00Z,0.51,0.37,yes
58,policy,legislation,2023-02-06T00:00:00Z,2023-03-20T00:00:00Z,0.12,0.66,yes
59,credit,default,2023-02-13T00:00:00Z,2023-04-09T00:00:00Z,0.49,0.33,no
60,biotech,regulatory,2023-02-20T00:00:00Z,2023-04-29T00:00:00Z,0.86,0.62,no
61,technology,adoption,2023-02-27T00:00:00Z,2023-05-19T00:00:00Z,0.47,0.29,no
62,geopolitics,elections,2023-03-06T00:00:00Z,2023-06-08T00:00:00Z,0.84,0.58,yes
63,climate,energy,2023-03-13T00:00:00Z,2023-06-28T00:00:00Z,0.45,0.25,no
64,public_health,outbreaks,2023-03-20T00:00:00Z,2023-07-18T00:00:00Z,0.82,0.54,no
65,macro,rates,2023-03-27T00:00:00Z,2023-08-07T00:00:00Z,0.43,0.21,yes
66,policy,legislation,2023-04-03T00:00:00Z,2023-04-29T00:00:00Z,0.80,0.50,yes
67,credit,default,2023-04-10T00:00:00Z,2023-05-19T00:00:00Z,0.41,0.79,yes
68,biotech,regulatory,2023-04-17T00:00:00Z,2023-06-08T00:00:00Z,0.78,0.46,yes
69,technology,adoption,2023-04-24T00:00:00Z,2023-06-28T00:00:00Z,0.39,0.75,no
70,geopolitics,elections,2023-05-01T00:00:00Z,2023-07-18T00:00:00Z,0.76,0.42,no
71,climate,energy,2023-05-08T00:00:00Z,2023-08-07T00:00:00Z,0.37,0.71,no
72,public_health,outbreaks,2023-05-15T00:00:00Z,2023-08-27T00:00:00Z,0.74,0.38,yes
73,macro,rates,2023-05-22T00:00:00Z,2023-09-16T00:00:00Z,0.35,0.67,no
74,policy,legislation,2023-05-29T00:00:00Z,2023-10-06T00:00:00Z,0.72,0.34,no
75,credit,default,2023-06-05T00:00:00Z,2023-06-28T00:00:00Z,0.33,0.63,yes
76,biotech,regulatory,2023-06-12T00:00:00Z,2023-07-18T00:00:00Z,0.70,0.30,yes
77,technology,adoption,2023-06-19T00:00:00Z,2023-08-07T00:00:00Z,0.31,0.59,yes
78,geopolitics,elections,2023-06-26T00:00:00Z,2023-08-27T00:00:00Z,0.68,0.26,yes
79,climate,energy,2023-07-03T00:00:00Z,2023-09-16T00:00:00Z,0.29,0.55,no
80,public_health,outbreaks,2023-07-10T00:00:00Z,2023-10-06T00:00:00Z,0.66,0.22,no
81,macro,rates,2023-07-17T00:00:00Z,2023-10-26T00:00:00Z,0.27,0.51,no
82,policy,legislation,2023-07-24T00:00:00Z,2023-11-15T00:00:00Z,0.64,0.18,yes
83,credit,default,2023-07-31T00:00:00Z,2023-12-05T00:00:00Z,0.25,0.47,no
84,biotech,regulatory,2023-08-07T00:00:00Z,2023-12-25T00:00:00Z,0.62,0.76,no
85,technology,adoption,2023-08-14T00:00:00Z,2023-09-16T00:00:00Z,0.23,0.43,yes
86,geopolitics,elections,2023-08-21T00:00:00Z,2023-10-06T00:00:00Z,0.60,0.72,yes
87,climate,energy,2023-08-28T00:00:00Z,2023-10-26T00:00:00Z,0.21,0.39,yes
88,public_health,outbreaks,2023-09-04T00:00:00Z,2023-11-15T00:00:00Z,0.58,0.68,yes
89,macro,rates,2023-09-11T00:00:00Z,2023-12-05T00:00:00Z,0.19,0.35,no
90,policy,legislation,2023-09-18T00:00:00Z,2023-12-25T00:00:00Z,0.56,0.64,no
91,credit,default,2023-09-25T00:00:00Z,2024-01-14T00:00:00Z,0.17,0.31,no
92,biotech,regulatory,2023-10-02T00:00:00Z,2024-02-03T00:00:00Z,0.54,0.60,yes
93,technology,adoption,2023-10-09T00:00:00Z,2024-02-23T00:00:00Z,0.15,0.27,no
94,geopolitics,elections,2023-10-16T00:00:00Z,2023-11-15T00:00:00Z,0.52,0.56,no
95,climate,energy,2023-10-23T00:00:00Z,2023-12-05T00:00:00Z,0.13,0.23,yes
96,public_health,outbreaks,2023-10-30T00:00:00Z,2023-12-25T00:00:00Z,0.50,0.52,yes
97,macro,rates,2023-11-06T00:00:00Z,2024-01-14T00:00:00Z,0.87,0.19,yes
98,policy,legislation,2023-11-13T00:00:00Z,2024-02-03T00:00:00Z,0.48,0.48,yes
99,credit,default,2023-11-20T00:00:00Z,2024-02-23T00:00:00Z,0.85,0.77,no
100,biotech,regulatory,2023-11-27T00:00:00Z,2024-03-14T00:00:00Z,0.46,0.44,no
101,technology,adoption,2023-12-04T00:00:00Z,2024-04-03T00:00:00Z,0.83,0.73,no
102,geopolitics,elections,2023-12-11T00:00:00Z,2024-04-23T00:00:00Z,0.44,0.40,yes
103,climate,energy,2023-12-18T00:00:00Z,2024-01-14T00:00:00Z,0.81,0.69,no
104,public_health,outbreaks,2023-12-25T00:00:00Z,2024-02-03T00:00:00Z,0.42,0.36,no
105,macro,rates,2024-01-01T00:00:00Z,2024-02-23T00:00:00Z,0.79,0.65,yes
106,policy,legislation,2024-01-08T00:00:00Z,2024-03-14T00:00:00Z,0.40,0.32,yes
107,credit,default,2024-01-15T00:00:00Z,2024-04-03T00:00:00Z,0.77,0.61,yes
108,biotech,regulatory,2024-01-22T00:00:00Z,2024-04-23T00:00:00Z,0.38,0.28,yes
109,technology,adoption,2024-01-29T00:00:00Z,2024-05-13T00:00:00Z,0.75,0.57,no
110,geopolitics,elections,2024-02-05T00:00:00Z,2024-06-02T00:00:00Z,0.36,0.24,no
111,climate,energy,2024-02-12T00:00:00Z,2024-06-22T00:00:00Z,0.73,0.53,no
112,public_health,outbreaks,2024-02-19T00:00:00Z,2024-03-14T00:00:00Z,0.34,0.20,yes
113,macro,rates,2024-02-26T00:00:00Z,2024-04-03T00:00:00Z,0.71,0.49,no
114,policy,legislation,2024-03-04T00:00:00Z,2024-04-23T00:00:00Z,0.32,0.78,no
115,credit,default,2024-03-11T00:00:00Z,2024-05-13T00:00:00Z,0.69,0.45,yes
116,biotech,regulatory,2024-03-18T00:00:00Z,2024-06-02T00:00:00Z,0.30,0.74,yes
117,technology,adoption,2024-03-25T00:00:00Z,2024-06-22T00:00:00Z,0.67,0.41,yes
118,geopolitics,elections,2024-04-01T00:00:00Z,2024-07-12T00:00:00Z,0.28,0.70,yes
119,climate,energy,2024-04-08T00:00:00Z,2024-08-01T00:00:00Z,0.65,0.37,no
120,public_health,outbreaks,2024-04-15T00:00:00Z,2024-08-21T00:00:00Z,0.26,0.66,no
